map,seed,condition,method,loop_id,vertex,target_x,target_y,radius_m,local_boundary_f1,local_boundary_status,local_boundary_precision,local_boundary_recall,local_symmetric_boundary_distance_mean_m,local_symmetric_boundary_distance_median_m,local_distance_status,local_observed_coverage,local_domain_cells,local_gt_boundary_cells
map3,21001,A,Original,1,15,21.833333333333336,58.0625,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7827,7
map3,21001,A,Original,2,11,10.527777777777779,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21001,A,Original,3,8,-2.833333333333332,-2.319444444444443,5.0,0.041666666666666664,AVAILABLE,0.03571428571428571,0.05,2.6166222167587714,1.9778334833084419,AVAILABLE,0.9944651821341228,7769,80
map3,21001,A,Original,4,26,46.5,21.319444444444443,5.0,0.0,ESTIMATED_BOUNDARY_WITHOUT_GT,0.0,0.0,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7856,0
map3,21001,B,Always-Trace,1,15,21.833333333333336,58.0625,5.0,1.0,AVAILABLE,1.0,1.0,0.0,0.0,AVAILABLE,1.0,7827,7
map3,21001,B,Always-Trace,2,11,10.527777777777779,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21001,B,Always-Trace,3,8,-2.833333333333332,-2.319444444444443,5.0,0.23140495867768596,AVAILABLE,0.20689655172413793,0.2625,1.8301529805666812,1.8412453151279722,AVAILABLE,0.9967820826361179,7769,80
map3,21001,B,Always-Trace,4,26,46.5,21.319444444444443,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21001,C,Selective,1,15,21.833333333333336,58.0625,5.0,1.0,AVAILABLE,1.0,1.0,0.0,0.0,AVAILABLE,1.0,7827,7
map3,21001,C,Selective,2,11,10.527777777777779,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
